11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='lived'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='milks'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='mushy'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='snout'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='onion'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='sings'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='steak'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='balsa'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='media'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='highs'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='strew'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='gives'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='doped'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='tools'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='digit'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='geese'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='marry'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='often'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='junks'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='wanes'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='bayed'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='swans'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='clang'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='craze'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='joked'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='train'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='vicar'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='chaff'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='beret'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='domes'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='pried'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='onion'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='scale'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='along'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='human'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='vests'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='hurry'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='whose'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='earns'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='whims'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='gaily'}
11:24:20.427 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='squat'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='plays'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='flown'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='lotus'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='saves'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='after'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='waste'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='woody'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='wakes'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='tines'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='heard'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='combs'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='fines'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='wreak'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='heeds'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='waist'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='vogue'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='flesh'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='casts'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='leaks'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='smote'}
11:24:20.428 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='churn'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='shade'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='opens'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='views'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='users'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='flies'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='wrote'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='stags'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='slaps'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='pants'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='lines'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='paved'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='toast'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='clink'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='break'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='beams'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='teddy'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='wordy'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='since'}
